customer_id,home_store,customer_first-name,customer_email,customer_since,loyalty_card_number,birthdate,gender,birth_year
0,0,0,0,01/01/1950,0,01/01/1950,0,1950
1,3,Kelly Key,Venus@adipiscing.edu,04/01/2017,908-424-2890,29/05/1950,M,1950
2,3,Clark Schroeder,Nora@fames.gov,07/01/2017,032-732-6308,30/07/1950,M,1950
3,3,Elvis Cardenas,Brianna@tellus.edu,10/01/2017,459-375-9187,30/09/1950,M,1950
4,3,Rafael Estes,Ina@non.gov,13/01/2017,576-640-9226,01/12/1950,M,1950
5,3,Colin Lynn,Dale@Integer.com,15/01/2017,344-674-6569,01/02/1951,M,1951
6,3,Igor Beach,Caleb@morbi.net,18/01/2017,114-126-1992,04/04/1951,M,1951
7,3,Scott Holden,Yen@Integer.edu,21/01/2017,384-074-3606,05/06/1951,M,1951
8,3,Keegan Ayala,Tana@sociis.com,24/01/2017,257-308-7675,07/08/1951,M,1951
9,3,Amir Byers,Madeson@malesuada.us,26/01/2017,931-925-0273,08/10/1951,M,1951
10,3,Magee Malone,Anjolie@sapien.gov,29/01/2017,359-150-6747,09/12/1951,M,1951
11,3,Dolan Petty,Kim@convallis.edu,01/02/2017,547-881-4488,09/02/1952,M,1952
12,3,Wang Hebert,Hollee@lorem.net,04/02/2017,605-014-6218,11/04/1952,M,1952
13,3,Wayne David,Slade@sapien.edu,06/02/2017,430-935-8698,12/06/1952,M,1952
14,3,Colin Fernandez,Thaddeus@non.com,09/02/2017,703-178-5883,13/08/1952,M,1952
15,3,Holmes Blankenship,Marvin@accumsan.us,12/02/2017,959-439-4036,15/10/1952,M,1952
16,3,Ali French,Uriah@magnis.org,15/02/2017,169-057-5893,16/12/1952,M,1952
17,3,Josiah Burton,Sacha@Nullam.edu,17/02/2017,373-811-5424,16/02/1953,M,1953
18,3,Drew Skinner,Rashad@faucibus.net,20/02/2017,981-655-9539,19/04/1953,M,1953
19,3,Henry Wilcox,Dexter@nisl.gov,23/02/2017,833-172-4578,20/06/1953,M,1953
20,3,Nathan Riggs,Iris@aptent.com,26/02/2017,639-354-7929,21/08/1953,M,1953
21,3,Mufutau Rosa,Haviva@inceptos.gov,28/02/2017,097-053-2704,22/10/1953,M,1953
22,3,Channing Larson,Marny@dis.edu,03/03/2017,238-527-1012,23/12/1953,M,1953
23,3,Raphael Watkins,Libby@libero.com,06/03/2017,865-048-2894,24/02/1954,M,1954
24,3,Avram Cooper,Sandra@adipiscing.org,09/03/2017,411-854-0502,27/04/1954,M,1954
25,3,Drake Valentine,Lewis@eget.edu,11/03/2017,160-817-8375,28/06/1954,M,1954
26,3,Samuel Gallagher,Paloma@ornare.org,14/03/2017,237-244-8752,29/08/1954,M,1954
27,3,Adrian Carlson,Orlando@mattis.org,17/03/2017,975-791-8098,30/10/1954,M,1954
28,3,Harding Jarvis,Cathleen@molestie.org,20/03/2017,423-612-1809,31/12/1954,M,1954
